"desc_formato_de_sala"
"Arena"
"Auditório"
"Coffee Break"
"Coquetel"
"Credenciamento"
"Em "" U """
"Em "" T """
"Em "" U "" Duplo"
"Escolar"
"Espinha de Peixe"
"Meia lua"
"À definir com o cliente"
"Banquete Pranchões"
"Banquete mesas redondas"
"Reunião"
